word : base_line_score | beam_search_score
碚 : 0.02 | 0.02 | 0.0
留 : 0.0247081782673 | 0.02 | 0.00470817826733
妈 : 0.02 | 0.02 | 0.0
碣 : 0.025578858913 | 0.02 | 0.00557885891302
大 : 0.02 | 0.02 | 0.0
夫 : 0.02 | 0.02 | 0.0
熏 : 0.0237840071903 | 0.0266666666667 | -0.00288265947633
头 : 0.0254047630885 | 0.0277370561447 | -0.00233229305614
焉 : 0.02 | 0.02 | 0.0
视 : 0.0235436764027 | 0.0277370561447 | -0.00419337974198
觅 : 0.02 | 0.02 | 0.0
熹 : 0.02 | 0.02 | 0.0
夏 : 0.0235436764027 | 0.0247081782673 | -0.00116450186462
熬 : 0.02 | 0.02 | 0.0
夕 : 0.0235436764027 | 0.02 | 0.00354367640271
触 : 0.0254047630885 | 0.02 | 0.00540476308855
琬 : 0.02 | 0.02 | 0.0
镍 : 0.02 | 0.02 | 0.0
镌 : 0.02 | 0.0242549210711 | -0.00425492107107
镂 : 0.02 | 0.02 | 0.0
镇 : 0.0243067655807 | 0.0248930108424 | -0.000586245261631
镛 : 0.02 | 0.02 | 0.0
琶 : 0.02 | 0.0271241437422 | -0.00712414374216
琏 : 0.02 | 0.02 | 0.0
瞑 : 0.02 | 0.02 | 0.0
琉 : 0.02 | 0.02 | 0.0
琛 : 0.02 | 0.02 | 0.0
镳 : 0.02 | 0.02 | 0.0
琐 : 0.02 | 0.02 | 0.0
击 : 0.03 | 0.03 | 0.0
出 : 0.0254047630885 | 0.0271241437422 | -0.00171938065361
榻 : 0.0236417580094 | 0.0236417580094 | 0.0
脲 : 0.02 | 0.02 | 0.0
脱 : 0.0286135311615 | 0.02 | 0.00861353116147
凳 : 0.0235620718711 | 0.0237840071903 | -0.000221935319257
凰 : 0.0237330482248 | 0.0243067655807 | -0.000573717355955
凶 : 0.0245534049739 | 0.02 | 0.00455340497394
凭 : 0.0241602919535 | 0.02 | 0.00416029195353
榨 : 0.02 | 0.02 | 0.0
凤 : 0.02 | 0.02 | 0.0
凛 : 0.02 | 0.02 | 0.0
脓 : 0.02 | 0.02 | 0.0
榘 : 0.02 | 0.02 | 0.0
榕 : 0.0254047630885 | 0.0260205999133 | -0.000615836824733
减 : 0.0266666666667 | 0.02 | 0.00666666666667
凌 : 0.02 | 0.02 | 0.0
净 : 0.03 | 0.03 | 0.0
脉 : 0.02 | 0.0266666666667 | -0.00666666666667
轨 : 0.0326185950714 | 0.02 | 0.0126185950714
夷 : 0.02 | 0.02 | 0.0
悒 : 0.02 | 0.02 | 0.0
缛 : 0.02 | 0.02 | 0.0
疫 : 0.0236633850183 | 0.04 | -0.0163366149817
樨 : 0.02 | 0.02 | 0.0
缔 : 0.02 | 0.02 | 0.0
缉 : 0.02 | 0.0266666666667 | -0.00666666666667
缅 : 0.0257812965264 | 0.02 | 0.00578129652636
缆 : 0.02 | 0.02 | 0.0
夹 : 0.0248930108424 | 0.02 | 0.00489301084236
患 : 0.02 | 0.02 | 0.0
缩 : 0.0247962493314 | 0.02 | 0.00479624933136
悠 : 0.025 | 0.04 | -0.015
缠 : 0.0254047630885 | 0.02 | 0.00540476308855
缤 : 0.0237330482248 | 0.0238110282485 | -7.79800237566e-05
器 : 0.02 | 0.02 | 0.0
噪 : 0.02 | 0.02 | 0.0
搪 : 0.02 | 0.02 | 0.0
噱 : 0.02 | 0.02 | 0.0
搂 : 0.0271241437422 | 0.02 | 0.00712414374216
噌 : 0.0238110282485 | 0.02 | 0.00381102824854
噎 : 0.02 | 0.02 | 0.0
搐 : 0.02 | 0.02 | 0.0
噜 : 0.02 | 0.02 | 0.0
锏 : 0.02 | 0.02 | 0.0
锉 : 0.02 | 0.02 | 0.0
锄 : 0.0239312326447 | 0.02 | 0.00393123264466
锃 : 0.02 | 0.02 | 0.0
销 : 0.02 | 0.02 | 0.0
瓣 : 0.02 | 0.02 | 0.0
锚 : 0.02 | 0.02 | 0.0
瓦 : 0.02 | 0.02 | 0.0
锔 : 0.02 | 0.02 | 0.0
瓒 : 0.02 | 0.02 | 0.0
锨 : 0.02 | 0.02 | 0.0
舔 : 0.02 | 0.03 | -0.01
